num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10001395,*,*,2002100,00159221330001608,20221403  121M2  660,196774.14,103000003923,2015140030010000030,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001395
00159222B10001396,*,000A28061737,2003000,00159221330005325,20221403  121M2  660,196774.14,033042100396,2015140030010000030,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001396
00159222B10001397,*,*,2001000,00159221330001070,20221403  121M2  660,803470.56,103000002667,2015140030010000031,1,Los campos DIR3 son requeridos
00159222B10001398,*,000U88474887,2002300,00159221330003574,20221403  121M2  660,803470.56,033042100415,2015140030010000031,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001398
00159222B10001399,*,*,2001000,00159221330001127,20221403  121M2  660,206910.00,103000002821,2015140030010000033,1,Los campos DIR3 son requeridos
00159222B10001400,*,000A78053147,2002300,00159221330003523,20221403  121M2  660,206910.00,033042100432,2015140030010000033,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001400
00159222B10001401,*,*,2001000,00159221330001180,20221403  121M2  660,401031.35,103000002972,2015140030010000034,1,Los campos DIR3 son requeridos
00159222B10001402,*,000A78093192,2002300,00159221330003576,20221403  121M2  660,401031.35,033042100453,2015140030010000034,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001402
00159222B10001403,*,*,2001000,00159221330001360,20221403  121M2  660,130367.52,103000003390,2015140030010000037,1,Los campos DIR3 son requeridos
00159222B10001404,*,000U88550009,2002300,00159221330003098,20221403  121M2  660,130367.52,033042100472,2015140030010000037,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001404
00159222B10001405,*,*,2001000,00159221330001361,20221403  121M2  660,85509.73,103000003391,2015140030010000038,1,Los campos DIR3 son requeridos
00159222B10001406,*,000A08854929,2002300,00159221330002181,20221403  121M2  660,85509.73,033042100473,2015140030010000038,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001406
00159222B10001407,*,*,2001000,00159221330001362,20221403  121M2  660,33281.90,103000003392,2015140030010000039,1,Los campos DIR3 son requeridos
